,Location,y,x,N,P,K,pH,temp,climate
372,bannikodu(8),14.4490238,75.831632,99,17,185,7.39,29,2
373,kumbalur(2),14.375781,75.74910159999999,94,9,180,6.46,16,2
374,shamshipura(2),14.4567821,75.8068194,54,13,170,7.93,32,2
375,shamshipura(3),14.454140599999999,75.8131362,54,8,154,8.37,0,2
376,shamshipura(4),14.4537052,75.81150579999999,105,17,188,7.77,35,2
377,bilasanur(2),14.485679600000001,75.73280720000001,79,15,154,7.68,30,2
378,kondajji(2),14.568589600000001,75.86953829999999,110,64,198,47.49,35,2
379,malebennuru(2),14.356368,75.7408313,69,8,191,5.12,24,2
380,malebennuru(3),14.3557288,75.74039029999999,69,10,108,7.79,7,2
381,hottigenahalli(2),14.6016658,75.84734920000001,103,28,159,7.56,6,2
382,hottigenahalli(4),14.601038800000001,75.8547594,51,11,80,7.94,24,2
383,kadaranaikanahalli(1),14.407837300000002,75.6806437,115,18,103,6.95,27,2
384,kadaranaikanahalli(2),14.4076035,75.6882578,63,10,180,8.07,6,2
385,kadaranaikanahalli(3),14.408749400000001,75.69281720000001,113,17,174,7.04,38,2
386,kadaranaikanahalli(4),14.403654000000001,75.69255229999999,111,13,175,7.63,7,2
387,kadaranaikanahalli(5),14.402382800000002,75.691164,79,10,183,7.85,6,2
388,kadaranaikanahalli(6),14.4012124,75.6907594,121,18,176,7.36,16,2
389,kadaranaikanahalli(7),14.412726300000001,75.69379980000001,54,9,184,8.27,35,2
390,sirigere(2),14.4319828,75.68325949999999,54,7,179,4.95,2,2
391,bullapura(2),13.9893657,75.6401906,99,15,190,7.38,21,2
392,vasana(2),14.418156699999997,75.65127340000001,99,12,175,7.46,37,2
393,komaranahalli(2),14.3173538,75.7077461,54,7,166,7.35,26,2
394,komaranahalli(3),14.3151326,75.7190646,104,21,166,7.47,39,2
395,komaranahalli(4),14.308995800000002,75.716668,76,13,174,7.75,23,2
396,k. bevinahalli(2),14.4250418,75.8184669,127,23,168,7.48,25,2
397,hunesehalli(2),14.2142481,75.71865820000001,69,19,154,5.06,34,2
398,hunesehalli(3),14.2138217,75.71740290000001,79,13,194,6.67,38,2
399,hunsagatta(2),13.132467000000002,77.4741302,84,23,194,7.78,0,2
400,benakanahalli(2),13.393050699999998,77.58047640000001,69,9,103,5.76,38,3
401,benakanahalli(3),13.393645600000001,77.5818548,103,24,139,7.38,38,3
402,benakanahalli(4),13.395783100000001,77.5824566,98,64,178,6.63,31,3
403,benakanahalli(5),13.397058,77.5825097,79,7,195,6.9,19,3
404,benakanahalli(7),13.394678,77.58076779999999,74,40,169,7.47,38,3
405,kulambi(2),14.295595800000001,75.7990658,74,10,195,7.82,4,3
406,kunduru(2),13.283935399999999,76.65584390000001,54,13,141,7.62,7,3
407,asagodu(2),14.558106299999999,76.1471405,74,9,110,8.4,29,3
408,asagodu(3),14.558655900000002,76.14944770000001,95,8,154,7.3,11,3
409,asagodu(4),14.5579582,76.1504613,84,9,185,7.34,0,3
410,asagodu(5),14.5605193,76.15132129999999,85,9,194,7.51,2,3
411,halekal(2),14.4568889,76.1360854,103,19,174,6.46,30,3
412,halekal(3),14.4568562,76.1387843,111,23,166,6.95,10,3
413,meldaginakere(2),14.493275500000001,76.2468473,51,11,184,7.99,38,3
414,Madamuthnahalli(2),14.5735245,76.4431639,54,7,159,8.62,23,3
415,Madamuthnahalli(3),14.571977300000002,76.4477665,103,22,176,7.62,35,3
416,Madamuthnahalli(4),14.571818799999999,76.4512353,86,34,165,6.64,39,3
417,jagalur(4),14.5129816,76.3350428,109,13,185,7.03,17,3
418,honnaikanahalli,14.0270404,75.96713759999999,110,11,102,6.63,35,3
419,mayakonda,14.2745,76.0798,124,28,165,6.77,11,3
420,kukkuvada,14.3317,75.8846,128,25,181,7.46,10,3
421,honnur,14.4194,75.9964,75,7,103,6.78,11,3
422,kabburu,14.2937,76.0218,118,17,199,6.36,30,3
423,bisaleri,14.3982,75.8803,63,9,149,8.04,9,3
424,anaji,14.4805,76.0784,102,13,166,6.8,28,3
425,vaddinahalli,14.4243,75.9724,74,10,184,7.65,10,3
426,nagarakatte,14.4822,75.9721,83,14,169,7.61,13,3
427,kaidale,14.3356,75.9144,123,24,188,6.59,23,3
428,lingadahalli,14.1,75.8541,69,8,104,7.74,8,3
429,hunasekatte,14.3747,76.1284,65,10,166,8.02,21,3
430,kandagal,14.2634,75.9652,75,10,194,8.23,21,3
431,anagodu,14.3932,76.0464,63,33,65,6.81,12,3
432,kolenahalli,14.3348,75.8657,71,10,54,7.61,15,3
433,rampura,14.1593,75.6855,115,14,32,6.65,14,3
434,gollarahatti,14.4982,76.0653,63,9,211,7.85,32,3
435,alur,14.4933,76.0087,58,5,320,8.15,7,3
436,naraganahalli,14.3439,76.0892,62,9,75,7.96,37,3
437,shamshipura,14.4546,75.8156,98,10,68,7.01,29,3
438,anajigeri,14.5937,76.0914,65,14,81,7.87,1,3
439,hanumanahalli,14.1566,75.7288,108,9,176,7.54,7,3
440,syagale,14.2778,75.9329,125,59,49,6.78,4,3
441,gudalu,14.4276,76.0987,63,10,58,7.91,7,3
442,kandanakovi,14.4319,76.0697,97,9,49,6.17,4,3
443,kodaganur,14.3352,76.0385,124,24,95,7.23,3,3
444,siddanur,14.4191,76.0385,68,8,102,8.17,28,3
445,ramagondanahalli,14.0981,75.9536,102,10,60,7.69,27,3
446,lokikere,14.3037,75.9275,94,8,60,7.7,12,3
447,gummanur,14.4149,76.111,125,9,65,5.63,15,3
448,siddanur,14.4191,76.0385,97,9,50,8.1,20,3
449,honnamaradi,14.3126,75.893,93,14,62,7.35,31,3
450,kodaganur,14.3352,76.0385,105,13,109,7.14,33,3
451,H. basavapura,14.029000000000002,75.8156,94,10,125,7.13,10,3
452,kenchammanahalli,14.4106,76.0878,98,9,195,5.68,35,3
453,lingadahalli,14.1,75.8541,102,17,124,7.09,31,3
454,mudenahalli,14.4234,76.0755,97,21,127,7.37,28,3
455,kabburu,14.2937,76.0218,96,11,118,7.41,23,3
456,doddabathi,14.4772,75.8592,85,10,130,5.53,27,3
457,kyatanahalli,14.231,76.0653,86,8,131,5.92,5,3
458,kereyagalahalli,14.4472,76.0805,87,17,136,6.28,13,3
459,hulikatte,14.4619,76.1016,68,8,119,5.57,28,3
460,ganganakatte,14.3552,76.0646,79,15,117,7.89,39,3
461,honnur,14.4194,75.9964,53,9,118,8.09,28,3
462,chikkavvanagathihalli,14.4747,76.1186,100,21,123,7.1,9,3
463,anaberu,14.2672,76.029,70,9,126,5.31,1,3
464,alur,14.4933,76.0087,103,17,124,7.44,10,3
465,kadlebalu,14.5402,75.9082,68,9,129,7.85,33,3
466,astapanahalli,14.780999999999999,75.987,60,10,118,7.79,26,3
467,sultanipura,14.3493,76.0479,126,17,111,6.48,10,3
468,avaragere,14.4468,75.9449,107,13,128,7.66,1,3
469,kandanakovi,14.4319,76.0697,54,7,125,8.02,35,3
470,dindadahalli,14.3116,76.0718,108,20,111,7.13,7,3
471,neerthadi,14.353,76.1472,124,24,17,6.28,34,3
472,kurki,14.353,76.1472,103,20,17,7.73,24,3
473,attigere,14.3239,75.992,80,8,19,5.37,38,3
474,kolenahalli,14.3348,75.8657,83,14,113,7.4,29,3
475,mayakonda,14.2745,76.0798,85,15,110,7.41,34,3
476,lingadahalli,14.1,75.8541,103,14,114,7.39,14,3
477,belavanur,14.3957,75.923,121,10,124,7.36,34,3
478,chikkamagadi,14.2975,76.0609,111,25,18,6.39,20,3
479,ganganakatte,14.3552,76.0646,69,10,110,7.53,5,3
480,boragondanahalli,14.4659,76.0015,103,20,110,6.0,33,3
481,devarahatti,14.5121,75.9133,91,9,133,7.78,8,3
482,halebathi,14.4644,75.836,108,17,110,6.94,5,3
483,narasipura,14.2353,76.0174,113,16,114,7.03,18,3
484,gummanur,14.4149,76.111,94,10,19,7.83,14,3
485,belavanur,14.3957,75.923,94,22,110,7.95,11,3
486,hunasekatte,14.3747,76.1284,102,25,15,7.52,11,3
487,Bullapura,14.5782,75.8607,84,7,19,5.25,10,3
488,Bullapura camp,14.1983,75.8861,94,13,110,7.4,23,3
489,kaidale,14.338675899999998,75.8954824,54,9,114,8.1,34,3
490,devarahatti,14.511854399999999,75.911834,81,9,19,5.87,37,3
491,madakeripura,14.3136707,76.0063787,118,23,159,7.5,2,3
492,kakkaragolla,14.5272579,75.8687925,121,35,110,7.58,8,3
493,ganganakatte,14.355359900000002,76.06285030000001,103,15,19,7.42,28,3
494,agasanakatte,14.436411999999999,76.0278744,69,11,124,7.76,8,3
495,kadajji,14.503615,75.9756625,59,9,18,7.39,7,3
496,nalkunda,14.251757699999999,76.0501045,83,17,110,7.5,3,3
497,lakkamuthenahalli,14.368665400000001,76.14228680000001,125,27,18,7.04,38,3
498,bisaleri,14.3975687,75.8778209,91,15,19,7.65,3,3
499,ganganakatte,14.355359900000002,76.06285030000001,99,17,19,7.78,22,3
500,gonivada,14.303645300000001,75.90194190000001,95,13,114,7.46,31,3
501,ontihal,14.2366783,75.9652015,59,10,113,8.02,16,3
502,huvinamadu,13.9838179,75.90655059999999,90,27,110,6.36,11,3
503,kodaganur,14.174935199999998,76.05680459999999,71,14,19,7.52,14,3
504,bethuru,14.4634348,75.918789,71,10,117,7.67,25,3
505,hadadi,14.2948031,75.8700015,111,21,121,7.98,15,3
506,gollarahalli,14.1975264,75.9168761,98,17,111,6.59,12,3
507,kashipura,14.2001919,75.8045242,59,8,110,4.68,31,3
508,pamenahalli,14.3909383,75.9311579,64,13,18,8.01,30,3
509,gandamuktenahalli,14.225146599999999,75.8557802,71,10,117,7.81,15,3
510,neethigere,14.0379407,75.98408459999999,74,9,18,8.01,14,3
511,doddaghatta,14.250678,75.87149620000001,126,43,115,5.42,12,3
512,bhimanere,14.005838500000001,75.5285688,109,17,19,7.61,9,3
513,maravanji,13.6910462,75.8846808,96,16,17,6.56,30,3
514,dodderikatte,14.203612099999999,75.986013,80,13,121,7.54,34,3
515,channagiri,13.9671209,75.89570040000001,103,5,19,5.62,22,3
516,mavinahole,13.907156500000001,75.8784031,119,7,117,5.78,33,3
517,kanchugaranahalli,14.128959699999998,75.65092209999999,95,6,19,4.78,22,3
518,yekkegondi,14.090212900000001,75.8644466,69,10,110,7.85,27,3
519,santhebennur,14.1350354,76.0033321,76,12,117,7.56,26,3
520,thyavanige,14.209641099999999,75.9293353,61,9,113,8.18,9,3
521,chikkakogalur,13.904522699999998,75.9039237,95,7,17,5.69,8,3
522,avalaghatta,13.865735199999998,75.99156009999999,95,10,120,6.08,18,3
523,somlapura,13.874939900000001,75.938996,56,7,124,4.8,18,3
524,belliganodu,14.216926800000001,75.74041,121,25,120,7.5,12,3
525,chikkasandi,13.988401000000001,75.72151679999999,79,6,18,5.7,4,3
526,kariganur,14.252403099999999,75.7408561,69,10,114,7.59,29,3
527,lakshmisagar,14.130441500000002,76.09838020000001,74,19,115,6.22,19,3
528,n.ganadakatte,13.8209761,75.84256620000001,104,23,114,7.42,10,3
529,honnebagi,13.965672400000003,75.8556854,104,19,110,7.5,29,3
530,kariganur,14.2072687,75.73753020000001,55,8,125,8.19,21,3
531,kenchapura,13.8647284,75.96755959999999,105,17,110,6.75,9,3
532,hodigere,14.064222199999998,75.9417272,69,7,120,5.51,28,3
533,kempanahalli,13.9890913,75.911375,66,9,19,8.09,8,3
534,goppenahalli,14.213205800000003,75.8463287,74,7,117,6.68,18,3
535,hallikeri,14.2925383,75.764025,99,8,116,7.81,10,3
536,punabagatta,14.559390599999999,75.9358213,87,14,110,7.74,0,3
537,ragimasalawada,14.489222400000001,75.75363709999999,83,21,122,7.72,35,3
538,anajigeri,14.5970054,76.0590847,99,21,125,6.75,7,3
539,chatnihalli,14.5248204,76.0137946,103,20,17,7.27,22,3
540,bagali,14.519449599999998,75.83922199999999,113,17,113,6.73,23,3
541,kanchikeri,14.4790728,75.9545052,65,13,19,7.64,20,3
542,nagarakatte,14.353729699999999,75.9436584,60,14,19,7.65,34,3
543,ragimasalawada,14.604660800000001,75.8903224,68,10,19,7.65,29,3
544,sathur,14.458083199999999,75.8736073,125,21,123,6.59,13,3
545,neelagunda,14.710429000000001,75.79208129999999,61,9,135,7.5,25,3
546,punabagatta,14.537641399999998,76.0198949,104,25,133,7.32,12,3
547,togarikatti,14.511661100000001,75.6219489,54,9,115,8.35,24,3
548,kambatrahalli,14.727785800000001,75.9697075,89,13,111,7.72,1,3
549,dibbadahalli,14.5449656,76.4877587,89,14,19,7.45,4,3
550,kunibelakere,14.3994392,75.80557280000001,125,9,117,6.08,39,3
551,chikkabidre,14.450695999999999,75.72406590000001,121,25,117,6.78,5,3
552,chikkabidre,14.6264435,75.81501690000002,109,33,111,7.96,29,3
553,nittur,14.3687657,75.77284449999999,66,10,127,7.87,25,3
554,kenchanahalli,14.471354500000002,75.51012759999999,74,9,115,8.21,8,3
555,hanagawadi,14.4545309,75.7853768,90,9,19,8.26,36,3
556,dhulehole,14.465230300000002,75.7076615,120,15,117,7.19,0,3
557,bannikodu,14.430573,75.7277611,114,21,113,7.23,23,3
558,hallihalu,14.382624599999998,75.698778,64,15,110,7.83,7,3
559,kadaranaikanahalli,14.248865300000002,75.6122063,73,10,127,6.85,26,3
560,holesirigere,14.4479221,75.70188940000001,104,21,114,7.55,36,3
561,kondaji,14.550115900000002,75.7674051,84,14,110,7.41,15,3
562,jigali,14.3880079,75.73424759999999,79,15,121,7.69,31,3
563,shamshipura,14.252812900000002,75.69872640000001,95,21,117,7.5,20,3
564,bilasanur,14.4850512,75.7321662,69,13,18,7.68,20,3
565,hunesehalli,14.2148461,75.7170274,109,6,113,5.67,29,3
566,benakanahalli,14.2125272,75.708155,96,25,113,7.17,35,3
567,kulambi,14.297321599999998,75.7964372,94,13,110,6.7,36,3
568,asagodu,14.559996799999999,76.14773690000001,66,9,19,8.15,4,3
569,narenahalli,14.4939156,76.1803588,65,13,133,7.79,7,3
570,kolamaghatta,14.5302155,76.1501937,76,9,19,8.03,33,3
571,marikunte,14.531440700000001,76.16974379999999,115,9,143,6.38,35,3
572,chikka ujjini,14.6816462,76.31834690000001,64,9,117,8.04,11,3
573,chikkammanahatti,14.5497006,76.3062188,82,24,116,7.39,20,3
574,halekal,14.4566396,76.1378717,97,15,113,7.72,10,3
