Location,y,x,N,P,K,pH
kurki,14.353,76.1472,103,20,17,7.73
attigere,14.3239,75.992,80,8,19,5.37
kolenahalli,14.3348,75.8657,83,14,113,7.4
mayakonda,14.2745,76.0798,85,15,110,7.41
lingadahalli,14.1,75.8541,103,14,114,7.39
belavanur,14.3957,75.923,121,10,124,7.36
chikkamagadi,14.2975,76.0609,111,25,18,6.39
ganganakatte,14.3552,76.0646,69,10,110,7.53
boragondanahalli,14.4659,76.0015,103,20,110,6
devarahatti,14.5121,75.9133,91,9,133,7.78
halebathi,14.4644,75.836,108,17,110,6.94
narasipura,14.2353,76.0174,113,16,114,7.03
gummanur,14.4149,76.111,94,10,19,7.83
belavanur,14.3957,75.923,94,22,110,7.95
hunasekatte,14.3747,76.1284,102,25,15,7.52
Bullapura,14.5782,75.8607,84,7,19,5.25
Bullapura camp,14.1983,75.8861,94,13,110,7.4
kaidale,14.3386759,75.8954824,54,9,114,8.1
devarahatti,14.5118544,75.911834,81,9,19,5.87
madakeripura,14.3136707,76.0063787,118,23,159,7.5
kakkaragolla,14.5272579,75.8687925,121,35,110,7.58
ganganakatte,14.3553599,76.0628503,103,15,19,7.42
agasanakatte,14.436412,76.0278744,69,11,124,7.76
kadajji,14.503615,75.9756625,59,9,18,7.39
nalkunda,14.2517577,76.0501045,83,17,110,7.5
lakkamuthenahalli,14.3686654,76.1422868,125,27,18,7.04
bisaleri,14.3975687,75.8778209,91,15,19,7.65
ganganakatte,14.3553599,76.0628503,99,17,19,7.78
gonivada,14.3036453,75.9019419,95,13,114,7.46
ontihal,14.2366783,75.9652015,59,10,113,8.02
huvinamadu,13.9838179,75.9065506,90,27,110,6.36
kodaganur,14.1749352,76.0568046,71,14,19,7.52
bethuru,14.4634348,75.918789,71,10,117,7.67
hadadi,14.2948031,75.8700015,111,21,121,7.98
gollarahalli,14.1975264,75.9168761,98,17,111,6.59
kashipura,14.2001919,75.8045242,59,8,110,4.68
pamenahalli,14.3909383,75.9311579,64,13,18,8.01
gandamuktenahalli,14.2251466,75.8557802,71,10,117,7.81
neethigere,14.0379407,75.9840846,74,9,18,8.01
doddaghatta,14.250678,75.8714962,126,43,115,5.42
bhimanere,14.0058385,75.5285688,109,17,19,7.61
maravanji,13.6910462,75.8846808,96,16,17,6.56
dodderikatte,14.2036121,75.986013,80,13,121,7.54
channagiri,13.9671209,75.8957004,103,5,19,5.62
mavinahole,13.9071565,75.8784031,119,7,117,5.78
kanchugaranahalli,14.1289597,75.6509221,95,6,19,4.78
yekkegondi,14.0902129,75.8644466,69,10,110,7.85
santhebennur,14.1350354,76.0033321,76,12,117,7.56
thyavanige,14.2096411,75.9293353,61,9,113,8.18
chikkakogalur,13.9045227,75.9039237,95,7,17,5.69
avalaghatta,13.8657352,75.9915601,95,10,120,6.08
somlapura,13.8749399,75.938996,56,7,124,4.8
belliganodu,14.2169268,75.74041,121,25,120,7.5
chikkasandi,13.988401,75.7215168,79,6,18,5.7
kariganur,14.2524031,75.7408561,69,10,114,7.59
lakshmisagar,14.1304415,76.0983802,74,19,115,6.22
n.ganadakatte,13.8209761,75.8425662,104,23,114,7.42
honnebagi,13.9656724,75.8556854,104,19,110,7.5
kariganur,14.2072687,75.7375302,55,8,125,8.19
kenchapura,13.8647284,75.9675596,105,17,110,6.75
hodigere,14.0642222,75.9417272,69,7,120,5.51
kempanahalli,13.9890913,75.911375,66,9,19,8.09
goppenahalli,14.2132058,75.8463287,74,7,117,6.68
hallikeri,14.2925383,75.764025,99,8,116,7.81
punabagatta,14.5593906,75.9358213,87,14,110,7.74
ragimasalawada,14.4892224,75.7536371,83,21,122,7.72
anajigeri,14.5970054,76.0590847,99,21,125,6.75
chatnihalli,14.5248204,76.0137946,103,20,17,7.27
bagali,14.5194496,75.839222,113,17,113,6.73
kanchikeri,14.4790728,75.9545052,65,13,19,7.64
nagarakatte,14.3537297,75.9436584,60,14,19,7.65
ragimasalawada,14.6046608,75.8903224,68,10,19,7.65
sathur,14.4580832,75.8736073,125,21,123,6.59
neelagunda,14.710429,75.7920813,61,9,135,7.5
punabagatta,14.5376414,76.0198949,104,25,133,7.32
togarikatti,14.5116611,75.6219489,54,9,115,8.35
kambatrahalli,14.7277858,75.9697075,89,13,111,7.72
dibbadahalli,14.5449656,76.4877587,89,14,19,7.45
kunibelakere,14.3994392,75.8055728,125,9,117,6.08
chikkabidre,14.450696,75.7240659,121,25,117,6.78
chikkabidre,14.6264435,75.8150169,109,33,111,7.96
nittur,14.3687657,75.7728445,66,10,127,7.87
kenchanahalli,14.4713545,75.5101276,74,9,115,8.21
hanagawadi,14.4545309,75.7853768,90,9,19,8.26
dhulehole,14.4652303,75.7076615,120,15,117,7.19
bannikodu,14.430573,75.7277611,114,21,113,7.23
hallihalu,14.3826246,75.698778,64,15,110,7.83
kadaranaikanahalli,14.2488653,75.6122063,73,10,127,6.85
holesirigere,14.4479221,75.7018894,104,21,114,7.55
kondaji,14.5501159,75.7674051,84,14,110,7.41
jigali,14.3880079,75.7342476,79,15,121,7.69
shamshipura,14.2528129,75.6987264,95,21,117,7.5
bilasanur,14.4850512,75.7321662,69,13,18,7.68
hunesehalli,14.2148461,75.7170274,109,6,113,5.67
benakanahalli,14.2125272,75.708155,96,25,113,7.17
kulambi,14.2973216,75.7964372,94,13,110,6.7
asagodu,14.5599968,76.1477369,66,9,19,8.15
narenahalli,14.4939156,76.1803588,65,13,133,7.79
kolamaghatta,14.5302155,76.1501937,76,9,19,8.03
marikunte,14.5314407,76.1697438,115,9,143,6.38
chikka ujjini,14.6816462,76.3183469,64,9,117,8.04
chikkammanahatti,14.5497006,76.3062188,82,24,116,7.39
halekal,14.4566396,76.1378717,97,15,113,7.72
